0,20,19,190,190
1,20,19,209,19
2,20,19,190,190
0,20,19,190,190
1,20,19,209,19
2,20,19,190,190
0,20,19,190,190
1,20,19,209,19
2,20,19,190,190
0,20,19,190,190
1,20,19,209,19
2,20,19,190,190
0,20,19,190,190
1,20,19,209,19
2,20,19,190,190
0,40,39,780,780
1,40,39,819,39
2,40,39,780,780
0,40,39,780,780
1,40,39,819,39
2,40,39,780,780
0,40,39,780,780
1,40,39,819,39
2,40,39,780,780
0,40,39,780,780
1,40,39,819,39
2,40,39,780,780
0,40,39,780,780
1,40,39,819,39
2,40,39,780,780
0,60,59,1770,1770
1,60,59,1829,59
2,60,59,1770,1770
0,60,59,1770,1770
1,60,59,1829,59
2,60,59,1770,1770
0,60,59,1770,1770
1,60,59,1829,59
2,60,59,1770,1770
0,60,59,1770,1770
1,60,59,1829,59
2,60,59,1770,1770
0,60,59,1770,1770
1,60,59,1829,59
2,60,59,1770,1770
0,80,79,3160,3160
1,80,79,3239,79
2,80,79,3160,3160
0,80,79,3160,3160
1,80,79,3239,79
2,80,79,3160,3160
0,80,79,3160,3160
1,80,79,3239,79
2,80,79,3160,3160
0,80,79,3160,3160
1,80,79,3239,79
2,80,79,3160,3160
0,80,79,3160,3160
1,80,79,3239,79
2,80,79,3160,3160
0,100,99,4950,4950
1,100,99,5049,99
2,100,99,4950,4950
0,100,99,4950,4950
1,100,99,5049,99
2,100,99,4950,4950
0,100,99,4950,4950
1,100,99,5049,99
2,100,99,4950,4950
0,100,99,4950,4950
1,100,99,5049,99
2,100,99,4950,4950
0,100,99,4950,4950
1,100,99,5049,99
2,100,99,4950,4950
0,120,119,7140,7140
1,120,119,7259,119
2,120,119,7140,7140
0,120,119,7140,7140
1,120,119,7259,119
2,120,119,7140,7140
0,120,119,7140,7140
1,120,119,7259,119
2,120,119,7140,7140
0,120,119,7140,7140
1,120,119,7259,119
2,120,119,7140,7140
0,120,119,7140,7140
1,120,119,7259,119
2,120,119,7140,7140
0,140,139,9730,9730
1,140,139,9869,139
2,140,139,9730,9730
0,140,139,9730,9730
1,140,139,9869,139
2,140,139,9730,9730
0,140,139,9730,9730
1,140,139,9869,139
2,140,139,9730,9730
0,140,139,9730,9730
1,140,139,9869,139
2,140,139,9730,9730
0,140,139,9730,9730
1,140,139,9869,139
2,140,139,9730,9730
0,160,159,12720,12720
1,160,159,12879,159
2,160,159,12720,12720
0,160,159,12720,12720
1,160,159,12879,159
2,160,159,12720,12720
0,160,159,12720,12720
1,160,159,12879,159
2,160,159,12720,12720
0,160,159,12720,12720
1,160,159,12879,159
2,160,159,12720,12720
0,160,159,12720,12720
1,160,159,12879,159
2,160,159,12720,12720
0,180,179,16110,16110
1,180,179,16289,179
2,180,179,16110,16110
0,180,179,16110,16110
1,180,179,16289,179
2,180,179,16110,16110
0,180,179,16110,16110
1,180,179,16289,179
2,180,179,16110,16110
0,180,179,16110,16110
1,180,179,16289,179
2,180,179,16110,16110
0,180,179,16110,16110
1,180,179,16289,179
2,180,179,16110,16110
0,200,199,19900,19900
1,200,199,20099,199
2,200,199,19900,19900
0,200,199,19900,19900
1,200,199,20099,199
2,200,199,19900,19900
0,200,199,19900,19900
1,200,199,20099,199
2,200,199,19900,19900
0,200,199,19900,19900
1,200,199,20099,199
2,200,199,19900,19900
0,200,199,19900,19900
1,200,199,20099,199
2,200,199,19900,19900
0,220,219,24090,24090
1,220,219,24309,219
2,220,219,24090,24090
0,220,219,24090,24090
1,220,219,24309,219
2,220,219,24090,24090
0,220,219,24090,24090
1,220,219,24309,219
2,220,219,24090,24090
0,220,219,24090,24090
1,220,219,24309,219
2,220,219,24090,24090
0,220,219,24090,24090
1,220,219,24309,219
2,220,219,24090,24090
0,240,239,28680,28680
1,240,239,28919,239
2,240,239,28680,28680
0,240,239,28680,28680
1,240,239,28919,239
2,240,239,28680,28680
0,240,239,28680,28680
1,240,239,28919,239
2,240,239,28680,28680
0,240,239,28680,28680
1,240,239,28919,239
2,240,239,28680,28680
0,240,239,28680,28680
1,240,239,28919,239
2,240,239,28680,28680
0,260,259,33670,33670
1,260,259,33929,259
2,260,259,33670,33670
0,260,259,33670,33670
1,260,259,33929,259
2,260,259,33670,33670
0,260,259,33670,33670
1,260,259,33929,259
2,260,259,33670,33670
0,260,259,33670,33670
1,260,259,33929,259
2,260,259,33670,33670
0,260,259,33670,33670
1,260,259,33929,259
2,260,259,33670,33670
0,280,279,39060,39060
1,280,279,39339,279
2,280,279,39060,39060
0,280,279,39060,39060
1,280,279,39339,279
2,280,279,39060,39060
0,280,279,39060,39060
1,280,279,39339,279
2,280,279,39060,39060
0,280,279,39060,39060
1,280,279,39339,279
2,280,279,39060,39060
0,280,279,39060,39060
1,280,279,39339,279
2,280,279,39060,39060
0,300,299,44850,44850
1,300,299,45149,299
2,300,299,44850,44850
0,300,299,44850,44850
1,300,299,45149,299
2,300,299,44850,44850
0,300,299,44850,44850
1,300,299,45149,299
2,300,299,44850,44850
0,300,299,44850,44850
1,300,299,45149,299
2,300,299,44850,44850
0,300,299,44850,44850
1,300,299,45149,299
2,300,299,44850,44850
0,320,319,51040,51040
1,320,319,51359,319
2,320,319,51040,51040
0,320,319,51040,51040
1,320,319,51359,319
2,320,319,51040,51040
0,320,319,51040,51040
1,320,319,51359,319
2,320,319,51040,51040
0,320,319,51040,51040
1,320,319,51359,319
2,320,319,51040,51040
0,320,319,51040,51040
1,320,319,51359,319
2,320,319,51040,51040
0,340,339,57630,57630
1,340,339,57969,339
2,340,339,57630,57630
0,340,339,57630,57630
