2,340,339,29026,28692
0,340,339,57630,28525
1,340,339,57969,339
2,340,339,28862,28525
0,340,339,57630,27696
1,340,339,57969,339
2,340,339,28033,27696
0,340,339,57630,29018
1,340,339,57969,339
2,340,339,29353,29018
0,360,359,64620,32409
1,360,359,64979,359
2,360,359,32765,32409
0,360,359,64620,31331
1,360,359,64979,359
2,360,359,31685,31331
0,360,359,64620,31023
1,360,359,64979,359
2,360,359,31378,31023
0,360,359,64620,32856
1,360,359,64979,359
2,360,359,33210,32856
0,360,359,64620,32118
1,360,359,64979,359
2,360,359,32471,32118
0,380,379,72010,33974
1,380,379,72389,379
2,380,379,34350,33974
0,380,379,72010,34558
1,380,379,72389,379
2,380,379,34931,34558
0,380,379,72010,35025
1,380,379,72389,379
2,380,379,35402,35025
0,380,379,72010,33718
1,380,379,72389,379
2,380,379,34094,33718
0,380,379,72010,36149
1,380,379,72389,379
2,380,379,36523,36149
0,400,399,79800,41921
1,400,399,80199,399
2,400,399,42313,41921
0,400,399,79800,40399
1,400,399,80199,399
2,400,399,40793,40399
0,400,399,79800,39841
1,400,399,80199,399
2,400,399,40235,39841
0,400,399,79800,38346
1,400,399,80199,399
2,400,399,38739,38346
0,400,399,79800,40058
1,400,399,80199,399
2,400,399,40452,40058
0,420,419,87990,45744
1,420,419,88409,419
2,420,419,46160,45744
0,420,419,87990,45304
1,420,419,88409,419
2,420,419,45717,45304
0,420,419,87990,42171
1,420,419,88409,419
2,420,419,42582,42171
0,420,419,87990,42181
1,420,419,88409,419
2,420,419,42596,42181
0,420,419,87990,44675
1,420,419,88409,419
2,420,419,45089,44675
0,440,439,96580,48580
1,440,439,97019,439
2,440,439,49015,48580
0,440,439,96580,47996
1,440,439,97019,439
2,440,439,48432,47996
0,440,439,96580,48743
1,440,439,97019,439
2,440,439,49179,48743
0,440,439,96580,49363
1,440,439,97019,439
2,440,439,49793,49363
0,440,439,96580,48969
1,440,439,97019,439
2,440,439,49404,48969
0,460,459,105570,50116
1,460,459,106029,459
2,460,459,50571,50116
0,460,459,105570,55910
1,460,459,106029,459
2,460,459,56357,55910
0,460,459,105570,54681
1,460,459,106029,459
2,460,459,55134,54681
0,460,459,105570,50726
1,460,459,106029,459
2,460,459,51182,50726
0,460,459,105570,52606
1,460,459,106029,459
2,460,459,53057,52606
0,480,479,114960,55032
1,480,479,115439,479
2,480,479,55505,55032
0,480,479,114960,58730
1,480,479,115439,479
2,480,479,59204,58730
0,480,479,114960,55146
1,480,479,115439,479
2,480,479,55617,55146
0,480,479,114960,59325
1,480,479,115439,479
2,480,479,59796,59325
0,480,479,114960,58033
1,480,479,115439,479
2,480,479,58506,58033
0,500,499,124750,60947
1,500,499,125249,499
2,500,499,61436,60947
0,500,499,124750,63279
1,500,499,125249,499
2,500,499,63774,63279
0,500,499,124750,64447
1,500,499,125249,499
2,500,499,64936,64447
0,500,499,124750,63882
1,500,499,125249,499
2,500,499,64372,63882
0,500,499,124750,61468
1,500,499,125249,499
2,500,499,61961,61468
0,520,519,134940,68130
1,520,519,135459,519
2,520,519,68645,68130
0,520,519,134940,63210
1,520,519,135459,519
2,520,519,63720,63210
0,520,519,134940,64847
1,520,519,135459,519
2,520,519,65362,64847
0,520,519,134940,68158
1,520,519,135459,519
2,520,519,68667,68158
0,520,519,134940,64838
1,520,519,135459,519
2,520,519,65348,64838
0,540,539,145530,71546
1,540,539,146069,539
2,540,539,72081,71546
0,540,539,145530,71634
1,540,539,146069,539
2,540,539,72167,71634
0,540,539,145530,72943
1,540,539,146069,539
2,540,539,73475,72943
0,540,539,145530,70143
1,540,539,146069,539
2,540,539,70678,70143
0,540,539,145530,72874
1,540,539,146069,539
2,540,539,73408,72874
0,560,559,156520,81488
1,560,559,157079,559
2,560,559,82042,81488
0,560,559,156520,80704
1,560,559,157079,559
2,560,559,81258,80704
0,560,559,156520,79535
1,560,559,157079,559
2,560,559,80090,79535
0,560,559,156520,80846
1,560,559,157079,559
2,560,559,81399,80846
0,560,559,156520,79321
1,560,559,157079,559
2,560,559,79875,79321
0,580,579,167910,81804
1,580,579,168489,579
2,580,579,82374,81804
0,580,579,167910,81848
1,580,579,168489,579
2,580,579,82416,81848
0,580,579,167910,84303
1,580,579,168489,579
2,580,579,84876,84303
0,580,579,167910,90173
1,580,579,168489,579
2,580,579,90746,90173
0,580,579,167910,79978
1,580,579,168489,579
2,580,579,80552,79978
0,600,599,179700,93038
1,600,599,180299,599
2,600,599,93633,93038
0,600,599,179700,89592
1,600,599,180299,599
