0,20,19,190,0
1,20,19,209,19
2,20,19,19,0
0,20,19,190,0
1,20,19,209,19
2,20,19,19,0
0,20,19,190,0
1,20,19,209,19
2,20,19,19,0
0,20,19,190,0
1,20,19,209,19
2,20,19,19,0
0,20,19,190,0
1,20,19,209,19
2,20,19,19,0
0,40,39,780,0
1,40,39,819,39
2,40,39,39,0
0,40,39,780,0
1,40,39,819,39
2,40,39,39,0
0,40,39,780,0
1,40,39,819,39
2,40,39,39,0
0,40,39,780,0
1,40,39,819,39
2,40,39,39,0
0,40,39,780,0
1,40,39,819,39
2,40,39,39,0
0,60,59,1770,0
1,60,59,1829,59
2,60,59,59,0
0,60,59,1770,0
1,60,59,1829,59
2,60,59,59,0
0,60,59,1770,0
1,60,59,1829,59
2,60,59,59,0
0,60,59,1770,0
1,60,59,1829,59
2,60,59,59,0
0,60,59,1770,0
1,60,59,1829,59
2,60,59,59,0
0,80,79,3160,0
1,80,79,3239,79
2,80,79,79,0
0,80,79,3160,0
1,80,79,3239,79
2,80,79,79,0
0,80,79,3160,0
1,80,79,3239,79
2,80,79,79,0
0,80,79,3160,0
1,80,79,3239,79
2,80,79,79,0
0,80,79,3160,0
1,80,79,3239,79
2,80,79,79,0
0,100,99,4950,0
1,100,99,5049,99
2,100,99,99,0
0,100,99,4950,0
1,100,99,5049,99
2,100,99,99,0
0,100,99,4950,0
1,100,99,5049,99
2,100,99,99,0
0,100,99,4950,0
1,100,99,5049,99
2,100,99,99,0
0,100,99,4950,0
1,100,99,5049,99
2,100,99,99,0
0,120,119,7140,0
1,120,119,7259,119
2,120,119,119,0
0,120,119,7140,0
1,120,119,7259,119
2,120,119,119,0
0,120,119,7140,0
1,120,119,7259,119
2,120,119,119,0
0,120,119,7140,0
1,120,119,7259,119
2,120,119,119,0
0,120,119,7140,0
1,120,119,7259,119
2,120,119,119,0
0,140,139,9730,0
1,140,139,9869,139
2,140,139,139,0
0,140,139,9730,0
1,140,139,9869,139
2,140,139,139,0
0,140,139,9730,0
1,140,139,9869,139
